                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.67628,                0.51909,                 1.0264,                 0.9495,                 0.9313,                0.95873,                0.77569,                0.81349,                0.45664,                 1.0952,               0.003565,               0.003565,               0.003565
                     81,                0.67367,                0.51517,                 1.0212,                0.95506,                0.92526,                 0.9588,                0.77819,                0.81444,                 0.4567,                 1.0967,              0.0034825,              0.0034825,              0.0034825
                     82,                 0.6687,                0.51195,                  1.022,                0.95657,                0.92438,                0.95993,                0.77989,                0.81548,                0.45516,                 1.0986,                 0.0034,                 0.0034,                 0.0034
                     83,                0.65922,                0.49729,                 1.0132,                0.96121,                0.92316,                0.96122,                0.78063,                0.81339,                0.45003,                  1.097,              0.0033175,              0.0033175,              0.0033175
                     84,                0.66123,                0.51531,                 1.0201,                0.95986,                0.92474,                0.96178,                0.78075,                0.81425,                0.45198,                 1.0977,               0.003235,               0.003235,               0.003235
                     85,                0.65832,                0.49704,                 1.0153,                0.95391,                0.93173,                0.96277,                0.78052,                 0.8134,                0.44954,                 1.0969,              0.0031525,              0.0031525,              0.0031525
                     86,                0.65031,                 0.4946,                 1.0139,                0.95478,                0.93393,                0.96056,                0.77921,                0.81397,                0.45073,                 1.0961,                0.00307,                0.00307,                0.00307
                     87,                0.65074,                0.49022,                 1.0135,                0.95801,                0.92682,                0.96149,                0.77839,                0.81411,                0.45207,                 1.0952,              0.0029875,              0.0029875,              0.0029875
                     88,                 0.6503,                0.49078,                 1.0116,                0.95756,                0.92416,                0.96132,                0.77889,                0.81386,                0.45052,                 1.0947,               0.002905,               0.002905,               0.002905
                     89,                0.64284,                0.49236,                 1.0075,                0.94775,                0.93381,                0.96137,                0.78013,                0.81364,                0.45148,                 1.0945,              0.0028225,              0.0028225,              0.0028225
                     90,                0.64074,                0.48049,                 1.0057,                0.96345,                0.92125,                0.96157,                0.78179,                0.81351,                0.45046,                 1.0952,                0.00274,                0.00274,                0.00274
                     91,                0.63554,                0.49016,                 1.0076,                0.96345,                0.92136,                0.96122,                 0.7795,                0.81355,                0.45347,                 1.0959,              0.0026575,              0.0026575,              0.0026575
                     92,                0.62944,                0.48817,                 1.0029,                0.96461,                0.92386,                0.96064,                0.77986,                0.81356,                0.45386,                 1.0962,               0.002575,               0.002575,               0.002575
                     93,                0.62037,                0.46885,                 1.0019,                0.96416,                0.92433,                0.96081,                0.78185,                0.81353,                0.45585,                 1.0957,              0.0024925,              0.0024925,              0.0024925
                     94,                0.62709,                0.47967,                0.99894,                0.96219,                0.92122,                0.96053,                0.78059,                 0.8134,                0.45701,                 1.0951,                0.00241,                0.00241,                0.00241
                     95,                0.61913,                0.46161,                0.99755,                0.95834,                0.92545,                0.96018,                0.78009,                0.81381,                0.45727,                 1.0949,              0.0023275,              0.0023275,              0.0023275
                     96,                0.61374,                0.45559,                0.99633,                0.95961,                0.92749,                0.95951,                0.77931,                0.81446,                0.45772,                 1.0959,               0.002245,               0.002245,               0.002245
                     97,                0.61562,                 0.4713,                 1.0002,                0.95973,                 0.9286,                0.95962,                0.77949,                 0.8139,                0.45734,                 1.0946,              0.0021625,              0.0021625,              0.0021625
                     98,                0.59852,                0.44604,                0.98693,                0.95993,                0.92936,                0.96004,                0.78155,                0.81413,                 0.4539,                 1.0954,                0.00208,                0.00208,                0.00208
                     99,                0.60278,                0.45263,                0.99058,                0.95999,                0.92987,                0.96006,                0.78237,                0.81459,                0.45413,                 1.0962,              0.0019975,              0.0019975,              0.0019975
                    100,                 0.5988,                0.44521,                0.98982,                0.96343,                 0.9215,                0.96074,                0.78193,                0.81562,                0.45353,                 1.0972,               0.001915,               0.001915,               0.001915
                    101,                0.59222,                0.44576,                 0.9888,                0.96319,                0.92192,                0.96103,                0.78256,                0.81529,                0.45257,                 1.0976,              0.0018325,              0.0018325,              0.0018325
                    102,                 0.5895,                 0.4405,                0.98777,                0.96447,                 0.9236,                0.96119,                0.78325,                0.81554,                0.45148,                 1.0977,                0.00175,                0.00175,                0.00175
                    103,                0.58572,                 0.4375,                0.98292,                 0.9556,                0.93037,                0.96079,                0.78411,                0.81624,                0.45093,                 1.0988,              0.0016675,              0.0016675,              0.0016675
                    104,                0.58282,                0.43596,                0.98175,                 0.9562,                0.92983,                0.96155,                0.78377,                0.81722,                0.44982,                 1.1004,               0.001585,               0.001585,               0.001585
                    105,                0.57754,                0.42946,                0.98334,                0.95517,                0.93321,                0.96111,                0.78257,                0.81765,                0.44875,                  1.101,              0.0015025,              0.0015025,              0.0015025
                    106,                0.58242,                0.43266,                0.98321,                0.95435,                0.93367,                0.96144,                0.78364,                0.81704,                0.44872,                    1.1,                0.00142,                0.00142,                0.00142
                    107,                0.57822,                0.42633,                0.98071,                0.95497,                0.93296,                0.96157,                0.78321,                0.81731,                0.44568,                 1.1011,              0.0013375,              0.0013375,              0.0013375
                    108,                0.56538,                0.41689,                0.97513,                0.95508,                0.93281,                0.96157,                0.78378,                0.81758,                0.44819,                 1.1014,               0.001255,               0.001255,               0.001255
                    109,                0.56516,                0.41845,                 0.9725,                0.95517,                0.93256,                0.96128,                 0.7833,                0.81806,                0.44697,                 1.1025,              0.0011725,              0.0011725,              0.0011725
                    110,                0.56136,                0.42399,                 0.9749,                 0.9553,                0.93216,                0.96111,                 0.7837,                0.81887,                0.44736,                 1.1037,                0.00109,                0.00109,                0.00109
                    111,                0.43251,                0.25467,                0.89559,                0.95527,                0.93217,                 0.9612,                 0.7824,                0.81915,                 0.4467,                  1.104,              0.0010075,              0.0010075,              0.0010075
                    112,                0.42218,                0.24278,                 0.8934,                0.95427,                0.93047,                0.96049,                0.78173,                0.81916,                 0.4466,                  1.104,               0.000925,               0.000925,               0.000925
                    113,                0.41467,                0.23888,                0.89185,                0.95332,                0.93132,                0.96038,                0.78189,                0.81876,                0.44666,                  1.104,              0.0008425,              0.0008425,              0.0008425
                    114,                0.41456,                0.23866,                0.88623,                0.95373,                0.93053,                0.96048,                0.78347,                0.81919,                0.44712,                 1.1046,                0.00076,                0.00076,                0.00076
                    115,                0.40653,                0.23539,                0.88609,                0.95419,                0.92944,                0.96037,                0.78288,                0.81905,                0.44761,                  1.105,              0.0006775,              0.0006775,              0.0006775
                    116,                 0.3976,                0.22823,                0.88025,                0.95429,                0.92881,                0.96055,                0.78379,                 0.8189,                0.44817,                 1.1051,               0.000595,               0.000595,               0.000595
                    117,                0.39676,                0.22672,                0.88024,                0.94398,                0.93792,                0.96043,                0.78408,                0.81922,                0.44867,                 1.1049,              0.0005125,              0.0005125,              0.0005125
                    118,                0.39338,                0.22541,                0.88144,                0.94463,                0.93642,                0.96094,                0.78412,                0.81904,                  0.449,                 1.1054,                0.00043,                0.00043,                0.00043
                    119,                0.38933,                0.22139,                0.87864,                0.95571,                0.92806,                0.96102,                0.78379,                0.81955,                0.45127,                  1.106,              0.0003475,              0.0003475,              0.0003475
                    120,                0.38087,                0.21865,                0.87589,                0.94365,                0.93661,                0.96093,                  0.784,                0.81963,                0.45255,                 1.1063,               0.000265,               0.000265,               0.000265
