                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.61645,                0.46686,                0.98527,                0.95133,                0.92438,                 0.9523,                0.77361,                0.87302,                0.56864,                 1.1245,               0.001486,               0.001486,               0.001486
                     89,                0.61933,                0.45556,                 0.9877,                 0.9514,                0.92435,                0.95286,                0.77384,                0.87424,                 0.5707,                 1.1257,               0.001387,               0.001387,               0.001387
                     90,                0.61008,                0.45129,                0.98461,                0.95225,                0.92427,                0.95303,                0.77434,                0.87465,                0.56904,                 1.1258,               0.001288,               0.001288,               0.001288
                     91,                0.48833,                0.29193,                0.92246,                  0.953,                0.92432,                0.95277,                0.77567,                0.87575,                0.56808,                  1.127,               0.001189,               0.001189,               0.001189
                     92,                 0.4765,                0.28278,                 0.9108,                0.95307,                0.92483,                 0.9527,                0.77493,                0.87685,                0.56795,                 1.1279,                0.00109,                0.00109,                0.00109
                     93,                  0.466,                0.27873,                0.90743,                0.95031,                0.92352,                0.95319,                0.77484,                0.87519,                0.56588,                 1.1278,               0.000991,               0.000991,               0.000991
                     94,                0.45626,                0.27215,                0.90313,                0.95028,                0.92389,                0.95312,                0.77331,                0.87532,                0.56711,                 1.1286,               0.000892,               0.000892,               0.000892
                     95,                0.45122,                0.27005,                0.89908,                0.95077,                0.92387,                 0.9534,                0.77315,                0.87538,                0.56446,                 1.1292,               0.000793,               0.000793,               0.000793
                     96,                0.44605,                 0.2663,                0.89694,                 0.9513,                0.92386,                 0.9536,                 0.7738,                0.87539,                 0.5673,                 1.1295,               0.000694,               0.000694,               0.000694
                     97,                0.43741,                0.26186,                 0.8931,                0.95275,                0.92365,                0.95462,                0.77505,                0.87583,                0.56839,                 1.1304,               0.000595,               0.000595,               0.000595
                     98,                0.43186,                0.25579,                0.89248,                0.95182,                0.92348,                0.95473,                0.77538,                0.87583,                0.56909,                 1.1302,               0.000496,               0.000496,               0.000496
                     99,                0.42276,                0.25074,                0.89229,                0.95346,                 0.9198,                0.95467,                 0.7744,                 0.8765,                0.57335,                 1.1308,               0.000397,               0.000397,               0.000397
                    100,                 0.4201,                0.25112,                0.88996,                0.95461,                0.91824,                0.95466,                0.77514,                0.87546,                0.57287,                 1.1307,               0.000298,               0.000298,               0.000298
